atom_type,backward,batch,device,max_abs_err_vs_dp,method,n_atoms,num_classes,num_groups,peak_cuda_mem_mb,repeats,seconds,support_width,warmup
binary,False,128,cpu,0.0,dp,64,,,0.0,3,0.00658285121122996,65,1
binary,False,128,cpu,0.0,conv,64,,,0.0,3,0.003641026715437571,65,1
binary,False,128,cpu,1.6391277313232422e-07,fft_tree,64,,,0.0,3,0.2490303007264932,65,1
ordinal_10,False,128,cpu,,conv,64,,,0.0,3,17.12289496138692,577,1
ordinal_10,False,128,cpu,7.450580596923828e-08,fft_tree,64,,,0.0,3,1.366758036116759,577,1
multiclass_ovr_10,False,128,cpu,0.0,cpu_dp,64,10,,0.0,3,6.1906160699824495,65,1
multiclass_ovr_10,False,128,cpu,2.8312206268310547e-07,fft_tree,64,10,,0.0,3,1.075849952797095,65,1
signed_binary_grouped,False,128,cpu,,grouped_conv,64,,16,0.0,3,0.5010648953417937,9,1
binary,False,128,cpu,0.0,dp,128,,,0.0,3,0.01095356916387876,129,1
binary,False,128,cpu,0.0,conv,128,,,0.0,3,0.008902683854103088,129,1
binary,False,128,cpu,2.086162567138672e-07,fft_tree,128,,,0.0,3,0.44347478200991947,129,1
ordinal_10,False,128,cpu,,conv,128,,,0.0,3,49.58422984058658,1153,1
ordinal_10,False,128,cpu,9.406358003616333e-08,fft_tree,128,,,0.0,3,1.6153746259709199,1153,1
multiclass_ovr_10,False,128,cpu,0.0,cpu_dp,128,10,,0.0,3,18.057488242785137,129,1
multiclass_ovr_10,False,128,cpu,3.203749656677246e-07,fft_tree,128,10,,0.0,3,2.0103816067179046,129,1
signed_binary_grouped,False,128,cpu,,grouped_conv,128,,16,0.0,3,1.3219596135119598,17,1
binary,False,128,cpu,0.0,dp,256,,,0.0,3,7.754354936381181,257,1
binary,False,128,cpu,0.0,conv,256,,,0.0,3,0.0622763546804587,257,1
binary,False,128,cpu,2.60770320892334e-07,fft_tree,256,,,0.0,3,1.7030999797085922,257,1
ordinal_10,False,128,cpu,,conv,256,,,0.0,3,6.791829116642475,2305,1
ordinal_10,False,128,cpu,1.2200325727462769e-07,fft_tree,256,,,0.0,3,0.004208768407503764,2305,1
multiclass_ovr_10,False,128,cpu,0.0,cpu_dp,256,10,,0.0,3,0.06054151803255081,257,1
multiclass_ovr_10,False,128,cpu,3.948807716369629e-07,fft_tree,256,10,,0.0,3,0.22851257771253586,257,1
signed_binary_grouped,False,128,cpu,,grouped_conv,256,,16,0.0,3,0.006891568501790364,33,1
binary,False,128,cpu,0.0,dp,512,,,0.0,3,0.0908202404777209,513,1
binary,False,128,cpu,0.0,conv,512,,,0.0,3,0.2493561233083407,513,1
binary,False,128,cpu,3.427267074584961e-07,fft_tree,512,,,0.0,3,0.0029036415119965873,513,1
ordinal_10,False,128,cpu,,conv,512,,,0.0,3,0.34717018405596417,4609,1
ordinal_10,False,128,cpu,1.6577541828155518e-07,fft_tree,512,,,0.0,3,0.007268212735652924,4609,1
multiclass_ovr_10,False,128,cpu,0.0,cpu_dp,512,10,,0.0,3,0.12412870923678081,513,1
multiclass_ovr_10,False,128,cpu,5.140900611877441e-07,fft_tree,512,10,,0.0,3,0.06458671018481255,513,1
signed_binary_grouped,False,128,cpu,,grouped_conv,512,,16,0.0,3,0.011401072144508362,65,1
