atom_type,backward,batch,device,max_abs_err_vs_dp,method,n_atoms,num_groups,peak_cuda_mem_mb,seconds,support_width
binary,True,256,cuda:0,0.0,dp,32,,1.5068359375,0.10857707634568214,33
binary,True,256,cuda:0,0.0,conv,32,,1.17578125,0.018663085997104645,33
ordinal_10,True,256,cuda:0,,conv,32,,6.693359375,0.06539984792470932,289
signed_binary_grouped,True,256,cuda:0,,grouped_conv,32,16,0.98583984375,0.2834445983171463,5
binary,True,256,cuda:0,0.0,dp,64,,5.0068359375,0.03658982738852501,65
binary,True,256,cuda:0,0.0,conv,64,,3.34765625,0.030603699386119843,65
ordinal_10,True,256,cuda:0,,conv,64,,22.4228515625,0.1328721046447754,577
signed_binary_grouped,True,256,cuda:0,,grouped_conv,64,16,2.14208984375,0.004879318177700043,9
binary,True,256,cuda:0,0.0,dp,128,,18.0068359375,0.06859397888183594,129
binary,True,256,cuda:0,0.0,conv,128,,10.69140625,0.0617254264652729,129
ordinal_10,True,256,cuda:0,,conv,128,,82.3017578125,0.28787003457546234,1153
signed_binary_grouped,True,256,cuda:0,,grouped_conv,128,16,5.205078125,0.008194491267204285,17
binary,True,256,cuda:0,0.0,dp,256,,68.0068359375,0.14443368092179298,257
binary,True,256,cuda:0,0.0,conv,256,,37.37890625,0.12942199781537056,257
ordinal_10,True,256,cuda:0,,conv,256,,308.3818359375,0.5688135698437691,2305
signed_binary_grouped,True,256,cuda:0,,grouped_conv,256,16,14.3310546875,0.01113642007112503,33
