atom_type,backward,batch,device,max_abs_err_vs_dp,method,n_atoms,num_groups,peak_cuda_mem_mb,repeats,seconds,support_width,warmup
binary,True,256,cuda:0,0.0,dp,32,,1.5068359375,5,0.013147955387830734,33,2
binary,True,256,cuda:0,0.0,conv,32,,1.11328125,5,0.010825928300619125,33,2
ordinal_10,True,256,cuda:0,,conv,32,,6.693359375,5,0.045238953083753586,289,2
signed_binary_grouped,True,256,cuda:0,,grouped_conv,32,16,1.08056640625,5,0.0013404384255409241,5,2
binary,True,256,cuda:0,0.0,dp,64,,5.0068359375,5,0.02691409960389137,65,2
binary,True,256,cuda:0,0.0,conv,64,,3.22265625,5,0.022225462645292283,65,2
ordinal_10,True,256,cuda:0,,conv,64,,22.4228515625,5,0.08542881309986114,577,2
signed_binary_grouped,True,256,cuda:0,,grouped_conv,64,16,2.26806640625,5,0.0016669407486915588,9,2
binary,True,256,cuda:0,0.0,dp,128,,18.0068359375,5,0.04679637625813484,129,2
binary,True,256,cuda:0,0.0,conv,128,,10.44140625,5,0.0405739814043045,129,2
ordinal_10,True,256,cuda:0,,conv,128,,82.3017578125,5,0.1683324731886387,1153,2
signed_binary_grouped,True,256,cuda:0,,grouped_conv,128,16,5.3935546875,5,0.0029146522283554077,17,2
binary,True,256,cuda:0,0.0,dp,256,,68.0068359375,5,0.09631726592779159,257,2
binary,True,256,cuda:0,0.0,conv,256,,36.87890625,5,0.07489632964134216,257,2
ordinal_10,True,256,cuda:0,,conv,256,,310.8916015625,5,0.3449275180697441,2305,2
signed_binary_grouped,True,256,cuda:0,,grouped_conv,256,16,14.64453125,5,0.004156355559825897,33,2
