method,seed,status,run_id,summary_path,selected_epoch,val_expected_count_mae,test_roc_auc,test_count_mae
dllp_bce,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s0_dbf3e0860ea5_c046977d_20260727T000953Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s0.json,12,4.866052627563477,0.7522072625805514,4.623905658721924
dllp_bce,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s1_b78eb4072d4c_c046977d_20260727T001026Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s1.json,11,4.757598876953125,0.7532907358546381,4.69118595123291
dllp_bce,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_bce_s2_cda1e41963a2_c046977d_20260727T001057Z,results/rebuttal/4090_criteo_strictv1/dllp_bce_s2.json,12,4.997391700744629,0.7509943751307157,4.599005699157715
dllp_mse,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s0_285d9a89786b_c046977d_20260727T000953Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s0.json,10,4.815166473388672,0.7474146405577843,4.552881240844727
dllp_mse,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s1_51f08a3f2044_c046977d_20260727T001024Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s1.json,9,4.8531270027160645,0.748185859423632,4.615963459014893
dllp_mse,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_dllp_mse_s2_fd1a9c0b28a9_c046977d_20260727T001053Z,results/rebuttal/4090_criteo_strictv1/dllp_mse_s2.json,9,5.039080619812012,0.7459099237234733,4.615518569946289
easyllp,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s0_a7dbedc97469_c046977d_20260727T000952Z,results/rebuttal/4090_criteo_strictv1/easyllp_s0.json,2,37.482723236083984,0.686212837970194,37.67947006225586
easyllp,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s1_59ca5390cbd9_c046977d_20260727T001009Z,results/rebuttal/4090_criteo_strictv1/easyllp_s1.json,4,36.695892333984375,0.6880445347297224,37.075660705566406
easyllp,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_easyllp_s2_eed00346e330_c046977d_20260727T001031Z,results/rebuttal/4090_criteo_strictv1/easyllp_s2.json,2,33.96406555175781,0.6970591739693022,34.72444152832031
fsconv,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s0_dcdb2cd30373_c046977d_20260727T000952Z,results/rebuttal/4090_criteo_strictv1/fsconv_s0.json,11,4.844912528991699,0.7493359736734793,4.5730366706848145
fsconv,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s1_f7974758c3ec_c046977d_20260727T001534Z,results/rebuttal/4090_criteo_strictv1/fsconv_s1.json,11,4.832439422607422,0.7492909892696176,4.614861488342285
fsconv,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s2_e83c856539b6_c046977d_20260727T002146Z,results/rebuttal/4090_criteo_strictv1/fsconv_s2.json,11,5.163938999176025,0.7485862840482151,4.726442337036133
