best.epoch,best.epoch_seconds,best.hist_count_mae,best.hist_exact_acc,best.hist_proportion_mae,best.instance_acc,best.loss,best.peak_cuda_mem_mb,best.train_loss,config.backbone,config.bag_size_mean,config.bag_size_std,config.dataset,config.dataset_root,config.experiment,config.label_level,config.num_classes,config.objective,config.pretrained,config.seed,config.train_bags,run_dir,source
19,58.39435605239123,3.044400215148926,0.0,0.023886704817414284,0.45302343368530273,0.04515051640570164,660.75830078125,0.007678906626999378,resnet18,128,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n128_train1000_s0/cifar_histogram/kl/CIFAR10_coarse/20260505T114552Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n128_train1000_s0/cifar_histogram_kl_s0.json
18,58.040048968978226,0.804900050163269,0.0,0.05213744565844536,0.512499988079071,0.28704276418685915,258.4736328125,0.07196509003639222,resnet18,16,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n16_train1000_s0/cifar_histogram/kl/CIFAR10_coarse/20260505T104531Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n16_train1000_s0/cifar_histogram_kl_s0.json
17,59.26265085861087,0.8072999715805054,0.0,0.05217013880610466,0.5126875042915344,0.29374894678592683,258.4736328125,0.0727542226910591,resnet18,16,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,1,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n16_train1000_s1/cifar_histogram/kl/CIFAR10_coarse/20260505T110508Z_gpusystem_s1,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n16_train1000_s1/cifar_histogram_kl_s1.json
19,2.8285711547359824,1.8315999507904053,0.0,0.028885692358016968,0.4933437407016754,0.06988711044192314,430.98828125,0.012153824590146542,resnet18,64,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n64_train1000_s0/cifar_histogram/kl/CIFAR10_coarse/20260505T110508Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n64_train1000_s0/cifar_histogram_kl_s0.json
18,64.25568786542863,1.8811999559402466,0.0,0.029576264321804047,0.48603126406669617,0.07267726704478264,430.98828125,0.012238458566367625,resnet18,64,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,1,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n64_train1000_s1/cifar_histogram/kl/CIFAR10_coarse/20260505T112450Z_gpusystem_s1,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_kl_n64_train1000_s1/cifar_histogram_kl_s1.json
1,52.464115522801876,2.8678998947143555,0.0,0.0224591214209795,0.2478671818971634,0.0007869370998814702,660.75830078125,0.0009015779551118612,resnet18,128,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n128_train1000_s0/cifar_histogram/mse/CIFAR10_coarse/20260505T114552Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n128_train1000_s0/cifar_histogram_mse_s0.json
14,60.92067056056112,0.8334000110626221,0.0,0.053763143718242645,0.4648750126361847,0.00456008885242045,258.4736328125,0.004280466554686427,resnet18,16,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n16_train1000_s0/cifar_histogram/mse/CIFAR10_coarse/20260505T104532Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n16_train1000_s0/cifar_histogram_mse_s0.json
18,58.947636269032955,0.8174999952316284,0.0,0.052914053201675415,0.4866875112056732,0.004467091852799058,258.4736328125,0.0040668229330331086,resnet18,16,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,1,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n16_train1000_s1/cifar_histogram/mse/CIFAR10_coarse/20260505T110508Z_gpusystem_s1,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n16_train1000_s1/cifar_histogram_mse_s1.json
3,65.11277788691223,1.9641999006271362,0.0,0.030835548415780067,0.2710312604904175,0.0015086213136091828,430.98828125,0.0013964493162930012,resnet18,64,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,0,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n64_train1000_s0/cifar_histogram/mse/CIFAR10_coarse/20260505T112450Z_gpusystem_s0,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n64_train1000_s0/cifar_histogram_mse_s0.json
3,60.72214223910123,2.061800003051758,0.0,0.03242366760969162,0.2692187428474426,0.0016747295185923577,430.98828125,0.0013896154584363103,resnet18,64,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,1,1000,runs/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n64_train1000_s1/cifar_histogram/mse/CIFAR10_coarse/20260505T112450Z_gpusystem_s1,results/serverA5000_cifar10_resnet18/cifar10_coarse_hist_mse_n64_train1000_s1/cifar_histogram_mse_s1.json
